序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,小区,小区名称,eNodeB,eNodeB名称,[LTE]小区无线接通率,[LTE]无线接通率,[LTE]无线接通率_1516610800155-0-0,[LTE]无线掉线率-,[FDD]RRC连接建立成功率,[FDD]E-RAB建立成功率,[FDD]RRC连接掉话率,E-RAB掉线率-FDD_1498916186273-0-9,[FDD]E-RAB阻塞率,[FDD]小区的可用率,[LTE]下行数据重传率,上行PRB平均利用率(集团),下行PRB平均利用率(集团),上行PRB利用率-扩容,下行PRB利用率-扩容,[LTE]上行PRB平均利用率(%),[LTE]下行PRB平均利用率(%),PDCCH信道CCE占用率-FDD_1498916186273-0-62,用户面最大激活UE数,用户面平均激活UE数,RRC连接建立最大用户数,RRC连接建立平均用户数,[FDD]最大的RRC连接建立个数,[FDD]平均的RRC连接建立个数,[FDD]小区上行PDCP层最大流量(兆比特/秒),[FDD]小区上行PDCP层最小流量(兆比特/秒),[FDD]小区上行PDCP层平均流量(兆比特/秒),[FDD]小区下行PDCP层最大流量(兆比特/秒),[FDD]小区下行PDCP层最小流量(兆比特/秒),[FDD]小区下行PDCP层平均流量(兆比特/秒),空口上行业务字节数(ZXJT)单位:GB ,空口下行业务字节数(ZXJT)单位:GB,小区上行BLER,小区下行BLER,RB平均干扰均值（0-24）,RB平均干扰均值(0-29),RB平均干扰均值（0-99）_1516610800155-0-16,"TA在范围[0,1)的上报次数","TA在范围[1,3)的上报次数","TA在范围[3,5)的上报次数","TA在范围[5,7)的上报次数","TA在范围[7,9)的上报次数","TA在范围[9,11)的上报次数","TA在范围[11,13)的上报次数","TA在范围[13,20)的上报次数","TA在范围[20,27)的上报次数","TA在范围[27,34)的上报次数","TA在范围[34,40)的上报次数",小区下行PDCP SDU时延(毫秒),小区上行PDCP SDU丢包个数,小区下行PDCP SDU丢包个数,小区上行PDCP 总的SDU个数,小区下行PDCP 总的SDU个数,[LTE]RLC PDU重传率
21,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721506,CGZ017346H_文萃家园(721506),83,FGZ0173463H1_文萃家园,721506,CGZ017346H_文萃家园,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.60%,4.72%,9.29%,4.72%,9.29%,0,9.29%,11.27%,7,1.5117,13,5.1345,13,5,2.3578,0,0.0476,21.9952,0,0.6246,0.02,0.27,0.00%,0.00%,-118.64,-118,-119,,,,,,,,,,,,10509718,5,6,222982,366519,0.00%
22,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),81,FGZ0173541H1_平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,6.35%,0.50%,4.62%,0.50%,4.62%,0,4.62%,8.28%,4,0.2254,6,0.8817,6,0,2.0908,0,0.0097,10.7395,0,0.0476,0,0.02,0.00%,0.00%,-119.83,-119,-119,,,,,,,,,,,,1592464,2,27,33868,39565,0.00%
23,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),82,FGZ0173542H1_平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.42%,4.23%,15.24%,4.23%,15.24%,0,15.24%,13.31%,6,1.2072,13,4.4094,13,4,1.8231,0,0.0455,13.819,0,0.7308,0.02,0.32,0.00%,0.00%,-119.91,-119,-119,,,,,,,,,,,,17314012,7,3,243301,327546,0.00%
24,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),83,FGZ0173543H1_平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.83%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.29%,6.50%,22.41%,6.50%,22.41%,0,22.41%,15.89%,8,1.6714,16,6.29,16,6,2.1185,0,0.0598,23.9411,0,0.9973,0.03,0.43,0.00%,0.00%,-119.04,-119,-119,,,,,,,,,,,,55847423,18,21,301273,443210,0.00%
25,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),84,FGZ0173544R1_检察院电信铁塔-平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.85%,0.42%,6.28%,0.42%,6.28%,0,6.28%,7.43%,4,0.3968,7,1.7067,7,1,1.1742,0,0.01,9.4439,0,0.1441,0,0.06,0.00%,0.00%,-117.8,-118,-119,,,,,,,,,,,,4360193,0,1,60684,96290,0.00%
26,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),85,FGZ0173545R1_检察院电信铁塔-平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.35%,1.03%,8.59%,1.03%,8.59%,0,8.59%,8.73%,4,0.4215,8,2.4533,8,2,1.0151,0,0.0204,13.025,0,0.3103,0.01,0.13,0.00%,0.00%,-119.03,-119,-119,,,,,,,,,,,,6865256,0,55,92438,129331,0.00%
27,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),86,FGZ0173546R1_检察院电信铁塔-平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.47%,0.65%,6.61%,0.65%,6.61%,0,6.61%,7.59%,4,0.3463,7,1.8578,7,1,0.6134,0,0.0135,9.8501,0,0.1084,0.01,0.05,0.00%,0.00%,-118.58,-118,-119,,,,,,,,,,,,2825911,16,3,57633,72507,0.00%
28,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721509,CGZ017358H_平阴实验小学(721509),81,FGZ0173581H1_平阴实验小学,721509,CGZ017358H_平阴实验小学,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,4.73%,0.23%,3.47%,0.23%,3.47%,0,3.47%,7.58%,3,0.1496,4,0.79,4,0,0.302,0,0.0025,4.3934,0,0.0103,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,327722,0,1,14495,21549,0.00%
29,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721509,CGZ017358H_平阴实验小学(721509),82,FGZ0173582H1_平阴实验小学,721509,CGZ017358H_平阴实验小学,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.25%,0.56%,4.28%,0.56%,4.28%,0,4.28%,7.53%,4,0.3234,7,1.4833,7,1,0.5764,0,0.0069,23.3966,0,0.1411,0,0.06,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,1473457,0,2,48739,85392,0.00%
30,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721509,CGZ017358H_平阴实验小学(721509),83,FGZ0173583H1_平阴实验小学,721509,CGZ017358H_平阴实验小学,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,4.61%,0.77%,3.88%,0.77%,3.88%,0,3.88%,7.58%,3,0.3694,6,1.3133,6,1,0.5382,0,0.0066,6.4482,0,0.0247,0,0.01,0.00%,0.00%,-119.93,-119,-119,,,,,,,,,,,,493996,0,3,39593,49566,0.00%
