序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,小区,小区名称,eNodeB,eNodeB名称,[LTE]小区无线接通率,[LTE]无线接通率,[LTE]无线接通率_1516610800155-0-0,[LTE]无线掉线率-,[FDD]RRC连接建立成功率,[FDD]E-RAB建立成功率,[FDD]RRC连接掉话率,E-RAB掉线率-FDD_1498916186273-0-9,[FDD]E-RAB阻塞率,[FDD]小区的可用率,[LTE]下行数据重传率,上行PRB平均利用率(集团),下行PRB平均利用率(集团),上行PRB利用率-扩容,下行PRB利用率-扩容,[LTE]上行PRB平均利用率(%),[LTE]下行PRB平均利用率(%),PDCCH信道CCE占用率-FDD_1498916186273-0-62,用户面最大激活UE数,用户面平均激活UE数,RRC连接建立最大用户数,RRC连接建立平均用户数,[FDD]最大的RRC连接建立个数,[FDD]平均的RRC连接建立个数,[FDD]小区上行PDCP层最大流量(兆比特/秒),[FDD]小区上行PDCP层最小流量(兆比特/秒),[FDD]小区上行PDCP层平均流量(兆比特/秒),[FDD]小区下行PDCP层最大流量(兆比特/秒),[FDD]小区下行PDCP层最小流量(兆比特/秒),[FDD]小区下行PDCP层平均流量(兆比特/秒),空口上行业务字节数(ZXJT)单位:GB ,空口下行业务字节数(ZXJT)单位:GB,小区上行BLER,小区下行BLER,RB平均干扰均值（0-24）,RB平均干扰均值(0-29),RB平均干扰均值（0-99）_1516610800155-0-16,"TA在范围[0,1)的上报次数","TA在范围[1,3)的上报次数","TA在范围[3,5)的上报次数","TA在范围[5,7)的上报次数","TA在范围[7,9)的上报次数","TA在范围[9,11)的上报次数","TA在范围[11,13)的上报次数","TA在范围[13,20)的上报次数","TA在范围[20,27)的上报次数","TA在范围[27,34)的上报次数","TA在范围[34,40)的上报次数",小区下行PDCP SDU时延(毫秒),小区上行PDCP SDU丢包个数,小区下行PDCP SDU丢包个数,小区上行PDCP 总的SDU个数,小区下行PDCP 总的SDU个数,[LTE]RLC PDU重传率
21,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721506,CGZ017346H_文萃家园(721506),83,FGZ0173463H1_文萃家园,721506,CGZ017346H_文萃家园,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.87%,6.97%,9.13%,6.97%,9.13%,0,9.13%,13.91%,7,1.7661,18,7.7811,18,7,2.2435,0,0.0876,23.6535,0,0.3424,0.04,0.15,0.00%,0.00%,-118.78,-118,-119,,,,,,,,,,,,7604269,65,32,257280,303438,0.00%
22,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),81,FGZ0173541H1_平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.74%,0.46%,3.97%,0.46%,3.97%,0,3.97%,8.81%,3,0.2696,5,0.77,5,0,10.4535,0,0.0182,8.073,0,0.0287,0.01,0.01,0.00%,0.00%,-119.81,-119,-119,,,,,,,,,,,,1058090,0,36,39678,50383,0.00%
23,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),82,FGZ0173542H1_平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.79%,0.99%,5.60%,0.99%,5.60%,0,5.60%,8.36%,6,0.3965,9,2.0583,9,2,0.3584,0,0.0102,19.4175,0,0.1083,0,0.05,0.00%,0.00%,-119.95,-119,-119,,,,,,,,,,,,2285261,5,77,51400,76361,0.00%
24,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),83,FGZ0173543H1_平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,6.87%,1.42%,5.61%,1.42%,5.61%,0,5.61%,8.56%,5,0.6911,9,2.325,9,2,6.387,0,0.0236,8.77,0,0.0924,0.01,0.04,0.00%,0.00%,-119.42,-119,-119,,,,,,,,,,,,1849483,0,32,93054,116534,0.00%
25,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),84,FGZ0173544R1_检察院电信铁塔-平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.67%,0.39%,6.25%,0.39%,6.25%,0,6.25%,8.32%,5,0.3759,8,1.5566,8,1,0.4662,0,0.009,9.7135,0,0.291,0,0.13,0.00%,0.00%,-118.64,-118,-119,,,,,,,,,,,,1908005,0,3,54973,120788,0.00%
26,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),85,FGZ0173545R1_检察院电信铁塔-平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,98.75%,98.75%,98.75%,0.00%,98.75%,100.00%,0.00%,0.00%,0.00%,100.00%,8.88%,0.51%,6.13%,0.51%,6.13%,0,6.13%,8.09%,3,0.2805,6,1.4806,6,1,3.6023,0,0.0134,11.7808,0,0.1536,0.01,0.07,0.00%,0.00%,-119.22,-119,-119,,,,,,,,,,,,2157645,24,2,51983,76008,0.00%
27,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东(721508),86,FGZ0173546R1_检察院电信铁塔-平阴锦东,721508,CGZ017354H_平阴锦东_检察院电信铁塔-平阴锦东,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.12%,0.00%,0.00%,100.00%,8.90%,1.13%,9.19%,1.13%,9.19%,0,9.19%,9.41%,4,0.3938,6,1.8278,6,1,9.0331,0,0.0234,23.5753,0,0.3337,0.01,0.14,0.00%,0.00%,-118.96,-119,-119,,,,,,,,,,,,8240391,5,133,92524,145140,0.00%
28,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721509,CGZ017358H_平阴实验小学(721509),81,FGZ0173581H1_平阴实验小学,721509,CGZ017358H_平阴实验小学,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,5.01%,0.23%,3.70%,0.23%,3.70%,0,3.70%,8.59%,2,0.0911,5,0.505,5,0,0.3502,0,0.0022,1.3112,0,0.0048,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,123513,0,0,9420,12306,0.00%
29,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721509,CGZ017358H_平阴实验小学(721509),82,FGZ0173582H1_平阴实验小学,721509,CGZ017358H_平阴实验小学,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.39%,1.94%,6.41%,1.94%,6.41%,0,6.41%,9.08%,4,0.894,8,2.6678,8,2,2.2613,0,0.0632,8.9488,0,0.2284,0.03,0.1,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,2498987,0,0,144607,201014,0.00%
30,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721509,CGZ017358H_平阴实验小学(721509),83,FGZ0173583H1_平阴实验小学,721509,CGZ017358H_平阴实验小学,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.91%,0.86%,6.13%,0.86%,6.13%,0,6.13%,8.15%,4,0.2344,9,1.7678,9,1,1.3012,0,0.0128,13.0337,0,0.2781,0.01,0.12,0.00%,0.00%,-119.9,-119,-119,,,,,,,,,,,,3919129,0,0,57851,109546,0.00%
