序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,小区,小区名称,eNodeB,eNodeB名称,[LTE]小区无线接通率,[LTE]无线接通率,[LTE]无线接通率_1516610800155-0-0,[LTE]无线掉线率-,[FDD]RRC连接建立成功率,[FDD]E-RAB建立成功率,[FDD]RRC连接掉话率,E-RAB掉线率-FDD_1498916186273-0-9,[FDD]E-RAB阻塞率,[FDD]小区的可用率,[LTE]下行数据重传率,上行PRB平均利用率(集团),下行PRB平均利用率(集团),上行PRB利用率-扩容,下行PRB利用率-扩容,[LTE]上行PRB平均利用率(%),[LTE]下行PRB平均利用率(%),PDCCH信道CCE占用率-FDD_1498916186273-0-62,用户面最大激活UE数,用户面平均激活UE数,RRC连接建立最大用户数,RRC连接建立平均用户数,[FDD]最大的RRC连接建立个数,[FDD]平均的RRC连接建立个数,[FDD]小区上行PDCP层最大流量(兆比特/秒),[FDD]小区上行PDCP层最小流量(兆比特/秒),[FDD]小区上行PDCP层平均流量(兆比特/秒),[FDD]小区下行PDCP层最大流量(兆比特/秒),[FDD]小区下行PDCP层最小流量(兆比特/秒),[FDD]小区下行PDCP层平均流量(兆比特/秒),空口上行业务字节数(ZXJT)单位:GB ,空口下行业务字节数(ZXJT)单位:GB,小区上行BLER,小区下行BLER,RB平均干扰均值（0-24）,RB平均干扰均值(0-29),RB平均干扰均值（0-99）_1516610800155-0-16,"TA在范围[0,1)的上报次数","TA在范围[1,3)的上报次数","TA在范围[3,5)的上报次数","TA在范围[5,7)的上报次数","TA在范围[7,9)的上报次数","TA在范围[9,11)的上报次数","TA在范围[11,13)的上报次数","TA在范围[13,20)的上报次数","TA在范围[20,27)的上报次数","TA在范围[27,34)的上报次数","TA在范围[34,40)的上报次数",小区下行PDCP SDU时延(毫秒),小区上行PDCP SDU丢包个数,小区下行PDCP SDU丢包个数,小区上行PDCP 总的SDU个数,小区下行PDCP 总的SDU个数,[LTE]RLC PDU重传率
2983,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721512,CGZ016C27H_长清水泥办(721512),81,FGZ016C271H1_长清水泥办,721512,CGZ016C27H_长清水泥办,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.61%,0.07%,3.43%,0.07%,3.43%,0,3.43%,8.72%,2,0.0236,4,0.3144,4,0,0.1615,0,0.0011,0.9609,0,0.0032,0,0,0.00%,0.00%,-117.64,-118,-119,,,,,,,,,,,,26790,0,0,2472,2324,0.00%
2984,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721512,CGZ016C27H_长清水泥办(721512),82,FGZ016C272H1_长清水泥办,721512,CGZ016C27H_长清水泥办,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.20%,2.08%,10.33%,2.08%,10.33%,0,10.33%,10.52%,5,0.6088,12,3.1794,12,3,1.5613,0,0.0292,14.6079,0,0.6585,0.01,0.29,0.00%,0.00%,-118.6,-118,-119,,,,,,,,,,,,10373948,29,0,156891,264636,0.00%
2985,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721512,CGZ016C27H_长清水泥办(721512),83,FGZ016C273H1_长清水泥办,721512,CGZ016C27H_长清水泥办,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.69%,2.32%,9.98%,2.32%,9.98%,0,9.98%,10.19%,6,0.7643,9,2.7622,9,2,3.4038,0,0.0757,16.491,0,0.9164,0.03,0.4,0.00%,0.00%,-118.57,-118,-119,,,,,,,,,,,,9869886,0,0,213925,388603,0.00%
2986,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721514,CGZ016C22H_长清异同(721514),81,FGZ016C221H1_长清异同,721514,CGZ016C22H_长清异同,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.22%,1.08%,5.65%,1.08%,5.65%,0,5.65%,8.95%,4,0.2974,7,1.38,7,1,0.5073,0,0.0084,7.5013,0,0.0927,0,0.04,0.00%,0.00%,-109.73,-111,-117,,,,,,,,,,,,1735207,1,84,45019,60255,0.00%
2987,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721514,CGZ016C22H_长清异同(721514),82,FGZ016C222H1_长清异同,721514,CGZ016C22H_长清异同,99.86%,99.86%,99.86%,0.00%,99.86%,100.00%,0.03%,0.00%,0.00%,100.00%,9.42%,3.21%,7.25%,3.21%,7.25%,0,7.25%,10.06%,6,1.0886,15,5.5544,15,5,5.1506,0,0.0637,21.4526,0,0.3176,0.03,0.14,0.00%,0.00%,-114.57,-115,-118,,,,,,,,,,,,3224752,4,8,145589,188158,0.00%
2988,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721514,CGZ016C22H_长清异同(721514),83,FGZ016C223H1_长清异同,721514,CGZ016C22H_长清异同,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.06%,1.14%,8.27%,1.14%,8.27%,0,8.27%,8.30%,5,0.3622,10,2.7256,10,2,0.8081,0,0.0164,23.2809,0,0.4202,0.01,0.18,0.00%,0.00%,-116.09,-116,-119,,,,,,,,,,,,6452736,1,0,82801,158518,0.00%
2989,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721514,CGZ016C22H_长清异同(721514),91,FDZ016C224H1_长清异同,721514,CGZ016C22H_长清异同,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.06%,1.58%,2.74%,1.58%,2.74%,0,2.74%,11.51%,7,1.2418,20,8.9111,20,8,2.498,0,0.1144,73.961,0,0.3138,0.05,0.14,0.00%,0.00%,-120,-120,-119,,,,,,,,,,,,1508205,26,0,178811,214044,0.00%
2990,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721514,CGZ016C22H_长清异同(721514),92,FDZ016C225H1_长清异同,721514,CGZ016C22H_长清异同,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,11.03%,0.85%,2.18%,0.85%,2.18%,0,2.18%,7.26%,4,0.3977,10,3.035,10,3,9.3524,0,0.0542,37.6579,0,0.2562,0.02,0.11,0.00%,0.00%,-120,-120,-119,,,,,,,,,,,,1081278,11,0,72490,121591,0.00%
2991,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721514,CGZ016C22H_长清异同(721514),93,FDZ016C226H1_长清异同,721514,CGZ016C22H_长清异同,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,12.54%,0.10%,1.44%,0.10%,1.44%,0,1.44%,3.99%,3,0.097,6,0.9806,6,0,3.0309,0,0.0107,69.652,0,0.1019,0,0.04,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,292168,1,0,20549,40884,0.00%
2992,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721525,CGZ016C28H_长清一中(721525),81,FGZ016C281H1_长清一中,721525,CGZ016C28H_长清一中,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.03%,0.00%,0.00%,100.00%,9.82%,2.64%,8.98%,2.64%,8.98%,0,8.98%,13.14%,6,0.624,11,2.1734,11,2,0.8709,0,0.0168,7.6634,0,0.2687,0.01,0.12,0.00%,0.00%,-114.61,-115,-118,,,,,,,,,,,,4683707,12,36,98389,151015,0.00%
2993,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721525,CGZ016C28H_长清一中(721525),82,FGZ016C282H1_长清一中,721525,CGZ016C28H_长清一中,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.74%,0.97%,5.70%,0.97%,5.70%,0,5.70%,9.52%,2,0.1426,5,0.9311,5,0,5.0244,0,0.0091,13.0711,0,0.0818,0,0.03,0.00%,0.00%,-116.94,-117,-119,,,,,,,,,,,,1602110,12,0,24861,36770,0.00%
2994,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721525,CGZ016C28H_长清一中(721525),83,FGZ016C283H1_长清一中,721525,CGZ016C28H_长清一中,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,5.15%,3.31%,5.67%,3.31%,5.67%,0,5.67%,13.63%,5,0.7623,9,1.7761,9,1,2.05,0,0.0198,5.381,0,0.0365,0.01,0.01,0.00%,0.00%,-118.27,-118,-119,,,,,,,,,,,,1237869,12,0,93483,103838,0.00%
2995,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721528,CGZ016C35H_长清一期安置房(721528),81,FGZ016C351H1_长清一期安置房,721528,CGZ016C35H_长清一期安置房,99.45%,99.45%,99.45%,0.54%,99.69%,99.76%,0.53%,0.07%,0.00%,100.00%,6.76%,12.31%,11.97%,12.31%,11.97%,0,11.97%,22.46%,9,2.0587,19,8.0395,19,8,0.5564,0,0.053,28.4873,0,0.429,0.02,0.18,0.00%,0.00%,-101.43,-104,-115,,,,,,,,,,,,9569482,1,3421,203838,265942,0.00%
2996,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721528,CGZ016C35H_长清一期安置房(721528),82,FGZ016C352H1_长清一期安置房,721528,CGZ016C35H_长清一期安置房,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,1.94%,0.01%,3.97%,0.01%,3.97%,0,3.97%,12.44%,1,0.0011,2,0.01,2,0,0.0422,0,0,0.3256,0,0.0001,0,0,0.00%,0.00%,-109.94,-111,-117,,,,,,,,,,,,1779,0,0,90,92,0.00%
2997,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721528,CGZ016C35H_长清一期安置房(721528),83,FGZ016C353H1_长清一期安置房,721528,CGZ016C35H_长清一期安置房,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.86%,1.40%,9.50%,1.40%,9.50%,0,9.50%,10.06%,6,0.7668,11,2.6728,11,2,2.9029,0,0.0268,24.6203,0,0.5544,0.01,0.24,0.00%,0.00%,-116.95,-117,-119,,,,,,,,,,,,10083836,0,8,137533,230085,0.00%
2998,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),81,FGZ016A774R1_齐鲁工业大学南门-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.91%,0.36%,6.65%,0.36%,6.65%,0,6.65%,11.94%,3,0.0995,4,0.4867,4,0,0.4751,0,0.0044,26.5306,0,0.0718,0,0.03,0.00%,0.00%,-118.96,-119,-119,,,,,,,,,,,,2659199,0,0,18529,28905,0.00%
2999,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),82,FGZ016A775R1_齐鲁工业大学南门-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.45%,0.14%,4.74%,0.14%,4.74%,0,4.74%,10.52%,3,0.0908,5,0.3856,5,0,1.7655,0,0.0034,10.7424,0,0.018,0,0.01,0.00%,0.00%,-119.18,-119,-119,,,,,,,,,,,,539075,0,0,11246,12907,0.00%
3000,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),83,FGZ016A776R1_齐鲁工业大学南门-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.37%,0.39%,5.08%,0.39%,5.08%,0,5.08%,10.26%,4,0.2504,5,0.6694,5,0,3.8239,0,0.0147,8.9781,0,0.0419,0.01,0.02,0.00%,0.00%,-119.83,-119,-119,,,,,,,,,,,,1004121,0,0,31420,37949,0.00%
3001,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),84,FGZ016A774R1_齐鲁工业大学18号宿舍楼-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.80%,1.34%,10.60%,1.34%,10.60%,0,10.60%,12.14%,4,0.4066,7,2.1678,7,2,2.3279,0,0.0298,23.5814,0,0.4612,0.01,0.2,0.00%,0.00%,-119.97,-119,-119,,,,,,,,,,,,8633916,8,0,122886,193629,0.00%
3002,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),85,FGZ016A775R1_齐鲁工业大学18号宿舍楼-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,0,0,0,0,0,0.00%
3003,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),86,FGZ016A776R1_齐鲁工业大学18号宿舍楼-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.01%,0.33%,6.35%,0.33%,6.35%,0,6.35%,11.04%,3,0.1388,7,0.61,7,0,6.7042,0,0.0114,8.1199,0,0.099,0,0.04,0.00%,0.00%,-119.74,-119,-119,,,,,,,,,,,,3912027,0,2,33550,46927,0.00%
3004,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),91,FDZ016A771R1_齐鲁工业大学南门-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,99.95%,99.95%,99.95%,0.00%,99.97%,99.98%,0.05%,0.00%,0.00%,100.00%,9.97%,9.89%,52.02%,9.89%,52.02%,0,52.02%,20.58%,25,11.8445,69,49.71,69,49,21.7484,0.039,0.4687,46.9028,0.0592,5.4794,0.2,2.4,0.00%,0.00%,-114.05,-113,-115,,,,,,,,,,,,117326290,3,8,1846558,2560610,0.00%
3005,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),92,FDZ016A772R1_齐鲁工业大学南门-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,11.91%,1.35%,5.20%,1.35%,5.20%,0,5.20%,9.26%,7,1.1324,18,6.1972,18,6,15.5239,0,0.1308,32.9277,0,0.7725,0.06,0.34,0.00%,0.00%,-118.71,-118,-118,,,,,,,,,,,,6626624,2,40,235310,358381,0.00%
3006,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),93,FDZ016A773R1_齐鲁工业大学南门-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,8.74%,0.86%,4.03%,0.86%,4.03%,0,4.03%,8.21%,9,0.8775,19,4.4594,19,4,2.8871,0,0.0508,42.8251,0,0.4448,0.02,0.19,0.00%,0.00%,-118.8,-118,-119,,,,,,,,,,,,9561523,1,55,159352,216815,0.00%
3007,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),94,FDZ016A771R1_齐鲁工业大学18号宿舍楼-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.14%,0.29%,2.89%,0.29%,2.89%,0,2.89%,6.24%,6,0.4527,12,3.5178,12,3,2.5067,0,0.023,42.5489,0,0.2801,0.01,0.12,0.00%,0.00%,-119.99,-119,-119,,,,,,,,,,,,2506630,0,0,76797,124284,0.00%
3008,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),95,FDZ016A772R1_齐鲁工业大学18号宿舍楼-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,6.21%,0.53%,3.91%,0.53%,3.91%,0,3.91%,8.67%,7,1.5384,18,7.4078,18,7,15.2189,0,0.0595,48.0329,0,1.153,0.03,0.51,0.00%,0.00%,-119.65,-119,-119,,,,,,,,,,,,5613894,9,0,266617,461500,0.00%
3009,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C(721543),96,FDZ016A773R1_齐鲁工业大学18号宿舍楼-轻工3C,721543,CGZ016A77R_齐鲁工业大学南门_齐鲁工业大学18号宿舍楼-轻工3C,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,0,0,0,0,0,0.00%
3010,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722019,CGZ016F69H_乡镇企业局(722019),91,FGZ016F691H1_乡镇企业局,722019,CGZ016F69H_乡镇企业局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.52%,0.27%,2.08%,0.27%,2.08%,0,2.08%,6.14%,6,0.5282,10,3.7411,10,3,1.565,0,0.0187,44.131,0,0.3562,0.01,0.15,0.00%,0.00%,-120,-120,-119,,,,,,,,,,,,1897952,2,0,82485,153718,0.00%
3011,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722019,CGZ016F69H_乡镇企业局(722019),92,FGZ016F692H1_乡镇企业局,722019,CGZ016F69H_乡镇企业局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,6.92%,0.26%,1.84%,0.26%,1.84%,0,1.84%,5.35%,4,0.2526,9,2.445,9,2,27.6171,0,0.0312,98.7889,0,0.2986,0.01,0.13,0.00%,0.00%,-120,-120,-119,,,,,,,,,,,,2222902,28,24,70120,118961,0.00%
3012,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722019,CGZ016F69H_乡镇企业局(722019),93,FGZ016F693H1_乡镇企业局,722019,CGZ016F69H_乡镇企业局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.29%,0.74%,3.26%,0.74%,3.26%,0,3.26%,8.75%,7,0.9119,15,6.07,15,6,5.0449,0,0.0624,42.0161,0,1.0032,0.03,0.44,0.00%,0.00%,-119.92,-119,-119,,,,,,,,,,,,4239945,22,5,213269,423381,0.00%
3013,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722260,CGZ016F65R_长清-长清乡镇企业局(722260),81,FGZ016F651R1_长清-长清乡镇企业局,722260,CGZ016F65R_长清-长清乡镇企业局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,10.66%,4.78%,17.96%,4.78%,17.96%,0,17.96%,14.34%,8,2.157,27,14.8656,27,14,3.1145,0,0.1352,15.1068,0,0.6646,0.06,0.29,0.00%,0.00%,-114.39,-115,-118,,,,,,,,,,,,14288518,18,87,320606,401419,0.00%
3014,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722260,CGZ016F65R_长清-长清乡镇企业局(722260),82,FGZ016F652R1_长清-长清乡镇企业局,722260,CGZ016F65R_长清-长清乡镇企业局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,11.21%,2.58%,12.57%,2.58%,12.57%,0,12.57%,12.61%,9,1.3418,14,7.5244,14,7,3.806,0,0.0597,16.7654,0,0.4914,0.03,0.21,0.00%,0.00%,-117.43,-117,-119,,,,,,,,,,,,11397410,2,58,241249,293179,0.00%
3015,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722260,CGZ016F65R_长清-长清乡镇企业局(722260),83,FGZ016F653R1_长清-长清乡镇企业局,722260,CGZ016F65R_长清-长清乡镇企业局,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,11.00%,7.17%,30.89%,7.17%,30.89%,0,30.89%,22.00%,11,2.9018,26,15.4489,26,15,7.925,0,0.1757,13.3059,0,1.2778,0.08,0.56,0.00%,0.00%,-116.87,-117,-119,,,,,,,,,,,,34296576,15,137,521453,625947,0.00%
3016,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722627,CGZ016B34H_沃德(722627),81,FGZ016B341H1_沃德,722627,CGZ016B34H_沃德,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,4.60%,0.17%,3.55%,0.17%,3.55%,0,3.55%,7.81%,3,0.0775,5,1.3934,5,1,0.2386,0,0.0017,1.6926,0,0.0076,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,143789,0,0,5729,4852,0.00%
3017,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722627,CGZ016B34H_沃德(722627),82,FGZ016B342H1_沃德,722627,CGZ016B34H_沃德,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,5.18%,0.03%,3.30%,0.03%,3.30%,0,3.30%,9.88%,2,0.007,2,0.0478,2,0,0.0606,0,0.0002,0.1166,0,0.0002,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,7797,0,35,486,655,0.00%
3018,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722627,CGZ016B34H_沃德(722627),83,FGZ016B343H1_沃德,722627,CGZ016B34H_沃德,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,5.66%,0.48%,4.49%,0.48%,4.49%,0,4.49%,9.95%,2,0.142,2,0.2039,2,0,0.6046,0,0.007,1.9683,0,0.1169,0,0.05,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,1813988,0,0,33846,44018,0.00%
3019,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722630,CGZ012E59H_平安张桥(722630),81,FGZ012E591H1_平安张桥,722630,CGZ012E59H_平安张桥_长清济柴-平安张桥,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.62%,0.21%,4.42%,0.21%,4.42%,0,4.42%,9.84%,3,0.2024,4,0.5572,4,0,0.1744,0,0.0026,9.6657,0,0.034,0,0.01,0.00%,0.00%,-118.88,-119,-119,,,,,,,,,,,,502571,0,1,18167,25416,0.00%
3020,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722630,CGZ012E59H_平安张桥(722630),82,FGZ012E592H1_平安张桥,722630,CGZ012E59H_平安张桥_长清济柴-平安张桥,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,2.87%,0.09%,3.94%,0.09%,3.94%,0,3.94%,11.60%,2,0.0645,2,0.1328,2,0,0.1477,0,0.0009,0.4846,0,0.0013,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,42044,1,0,8049,7167,0.00%
3021,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722630,CGZ012E59H_平安张桥(722630),83,FGZ012E593H1_平安张桥,722630,CGZ012E59H_平安张桥_长清济柴-平安张桥,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.92%,1.37%,5.67%,1.37%,5.67%,0,5.67%,10.11%,5,0.6898,8,2.2383,8,2,0.5653,0,0.0152,8.8187,0,0.0858,0.01,0.04,0.00%,0.00%,-119.72,-119,-119,,,,,,,,,,,,1455998,4,56,87783,115548,0.00%
3022,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722631,CGZ012E60R_平安工业园-平安供电所(722631),81,FGZ012E601R1_平安工业园-平安供电所,722631,CGZ012E60R_平安工业园-平安供电所,99.89%,99.89%,99.89%,0.24%,99.89%,100.00%,0.00%,0.00%,0.00%,100.00%,8.87%,3.38%,7.96%,3.38%,7.96%,0,7.96%,12.65%,9,2.1461,15,7.125,15,7,6.5536,0.0001,0.0577,13.1757,0,0.3004,0.02,0.13,0.00%,0.00%,-117.13,-117,-119,,,,,,,,,,,,8083831,43,16,257175,304327,0.00%
3023,2018/4/15 19:00,2018/4/15 20:00,1小时,5311,子网(MO SDR)(5311),722631,CGZ012E60R_平安工业园-平安供电所(722631),82,FGZ012E602R1_平安工业园-平安供电所,722631,CGZ012E60R_平安工业园-平安供电所,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.93%,0.95%,6.08%,0.95%,6.08%,0,6.08%,10.96%,4,0.2275,6,1.1394,6,1,0.3949,0,0.0092,13.3333,0,0.0628,0,0.03,0.00%,0.00%,-116.71,-117,-119,,,,,,,,,,,,1680189,1,7,35855,45181,0.00%
